code,name,行业,总市值_亿元,流通市值_亿元,样本标识,更新时间
603337,,专用设备,22458782498.0,22216459328.0,扩展500只,2025-09-26 11:54:53
002801,,电机,8461939200.0,4267329495.0,扩展500只,2025-09-26 11:54:53
600662,,专业服务,12239541160.0,12167632289.0,扩展500只,2025-09-26 11:54:53
600619,,家电行业,27166346916.0,19974014137.0,扩展500只,2025-09-26 11:54:53
600592,,通用设备,10843883917.0,10843883917.0,扩展500只,2025-09-26 11:54:53
002608,,电力行业,30678007196.0,30678007196.0,扩展500只,2025-09-26 11:54:53
301061,,家电行业,20452688824.0,13581537266.0,扩展500只,2025-09-26 11:54:53
600361,,有色金属,15662820920.0,6126821889.0,扩展500只,2025-09-26 11:54:53
002102,,化学制药,9407381802.0,8256959139.0,扩展500只,2025-09-26 11:54:53
603281,,化学制品,9142933350.0,6163984003.0,扩展500只,2025-09-26 11:54:53
835185,,电池,36469405295.0,35881746453.0,扩展500只,2025-09-26 11:54:53
603800,,专用设备,10377120000.0,10377120000.0,扩展500只,2025-09-26 11:54:53
600675,,房地产开发,17715176520.0,17715176520.0,扩展500只,2025-09-26 11:54:53
688788,,通信设备,8656329833.0,8656329833.0,扩展500只,2025-09-26 11:54:53
000880,,通用设备,15478635791.0,7575884316.0,扩展500只,2025-09-26 11:54:53
300486,,专用设备,11341453879.0,11060869231.0,扩展500只,2025-09-26 11:54:53
603053,,燃气,9164455900.0,9164455900.0,扩展500只,2025-09-26 11:54:53
605008,,塑料制品,9120989286.0,9120989286.0,扩展500只,2025-09-26 11:54:53
301000,,塑料制品,11718830787.0,11062244787.0,扩展500只,2025-09-26 11:54:53
301109,,环保行业,11299924057.0,2940408814.0,扩展500只,2025-09-26 11:54:53
603277,,通用设备,11740067705.0,11664441458.0,扩展500只,2025-09-26 11:54:53
688055,,光学光电子,13500000270.0,13500000270.0,扩展500只,2025-09-26 11:54:53
605099,,家用轻工,12464512934.0,12429882280.0,扩展500只,2025-09-26 11:54:53
688513,,化学制药,9991725690.0,9991725690.0,扩展500只,2025-09-26 11:54:53
605198,,食品饮料,15012800000.0,11903584000.0,扩展500只,2025-09-26 11:54:53
688336,,生物制品,34903908026.0,34903908026.0,扩展500只,2025-09-26 11:54:53
600117,,钢铁行业,10286162948.0,10286162948.0,扩展500只,2025-09-26 11:54:53
688585,,塑料制品,53284084269.0,53284084269.0,扩展500只,2025-09-26 11:54:53
688775,,消费电子,120027320000.0,9129729633.0,扩展500只,2025-09-26 11:54:53
688729,,半导体,89789912800.0,6069550083.0,扩展500只,2025-09-26 11:54:53
688411,,电源设备,49332736334.0,10391138447.0,扩展500只,2025-09-26 11:54:53
301526,,玻璃玻纤,23945075605.0,8917895061.0,扩展500只,2025-09-26 11:54:53
301275,,通信设备,23168640000.0,1853491200.0,扩展500只,2025-09-26 11:54:53
301678,,半导体,20429290226.0,3881329281.0,扩展500只,2025-09-26 11:54:53
603341,,消费电子,21849710873.0,12392207283.0,扩展500只,2025-09-26 11:54:53
603194,,工程机械,18061040000.0,2317538605.0,扩展500只,2025-09-26 11:54:53
301658,,光伏设备,13995876322.0,1314428625.0,扩展500只,2025-09-26 11:54:53
301600,,通信设备,14953131910.0,4614901010.0,扩展500只,2025-09-26 11:54:53
301665,,农药兽药,13167000000.0,1050618016.0,扩展500只,2025-09-26 11:54:53
603262,,食品饮料,12380309500.0,1200941863.0,扩展500只,2025-09-26 11:54:53
